dataset_id	dataset_family	benchmark_suite	domain	modality	candidate_scope	official_source_locator	access_date	evidence_type	verification_status
tableshift_voting	TableShift	TableShift	civic	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_assistments	TableShift	TableShift	education	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_childhood_lead	TableShift	TableShift	public health	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_college_scorecard	TableShift	TableShift	education	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_diabetes	TableShift	TableShift	health	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_food_stamps	TableShift	TableShift	public policy	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_heloc	TableShift	TableShift	finance	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_hospital_readmission	TableShift	TableShift	health	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_hypertension	TableShift	TableShift	health	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_icu_los	TableShift	TableShift	critical care	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
tableshift_icu_mortality	TableShift	TableShift	critical care	tabular	binary classification	https://github.com/mlfoundations/shift	2026-07-29	official-source-locator	PENDING_OFFICIAL_VERIFICATION
