workbook	sheet_name	requested_sheet_name	figure_or_table	description	upstream_source	notes
Paper1_Source_Data_FINAL.xlsx	Fig2a_AUROC_across_shifts	Fig2a_AUROC_across_shifts	Fig. 2	Panel a; MDA AUROC across random and cold-start shifts.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig2b_AUPR_across_shifts	Fig2b_AUPR_across_shifts	Fig. 2	Panel b; MDA AUPR across random and cold-start shifts.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig2c_delta_AUROC_random_minus_	Fig2c_delta_AUROC_random_minus_shifted	Fig. 2	Panel c; paired seed-level AUROC loss, random minus shifted setting.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig3a_AUROC_vs_F1_all_MDA_combi	Fig3a_AUROC_vs_F1_all_MDA_combinations	Fig. 3	Panel a; AUROC versus F1 for all official MDA combinations.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig3b_AUROC_vs_ECE_all_MDA_comb	Fig3b_AUROC_vs_ECE_all_MDA_combinations	Fig. 3	Panel b; AUROC versus ECE for all official MDA combinations.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig3c_MPHGNN_calibration_curve_	Fig3c_MPHGNN_calibration_curve_bins	Fig. 3	Panel c; MPHGNN calibration bins derived from official audit predictions.	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived only from existing MPHGNN audit prediction files.
Paper1_Source_Data_FINAL.xlsx	Fig3d_MPHGNN_representative_met	Fig3d_MPHGNN_representative_metrics	Fig. 3	Panel d; representative MPHGNN official summary metrics.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig4a_drugcold_vs_scaffoldcold	Fig4a_drugcold_vs_scaffoldcold	Fig. 4	Panel a; official drug-cold versus scaffold-cold MDA metrics.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig4b_MDR_similarity_stratified	Fig4b_MDR_similarity_stratified	Fig. 4	Panel b; MDR drug-cold similarity-stratified summary.	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_final.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig4c_MDS_similarity_stratified	Fig4c_MDS_similarity_stratified	Fig. 4	Panel c; MDS drug-cold similarity-stratified summary.	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_final.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig5a_CDA_AUROC_across_settings	Fig5a_CDA_AUROC_across_settings	Fig. 5	Panel a; CDA AUROC across random and cold-start settings.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig5b_CDA_random_baseline_loss	Fig5b_CDA_random_baseline_loss	Fig. 5	Panel b; CDA random-baseline AUROC loss from official final export.	outputs/paper1_data_refresh_20260710/Fig5_CDA_random_baseline_loss_final.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig6a_masking_design_summary	Fig6a_masking_design_summary	Fig. 6	Panel a; fixed-final MSMCDA masking audit summary by setting.	formal_runs/cda_msmcda_native_maskedcold_full100_fixedfinal_20260701/07_tables/FORMAL100_MASKING_RUN_AUDIT.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig6b_confirmatory_nonmetal_ana	Fig6b_confirmatory_nonmetal_analysis	Fig. 6	Panel b; GAT-only masking confirmatory non-metal strategy summary.	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig6c_subgroup_high_low_paired_	Fig6c_subgroup_high_low_paired_difference	Fig. 6	Panel c; high-versus-low paired differences with seed and Holm-adjusted p-values.	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig6d_platinum_blind_spot_examp	Fig6d_platinum_blind_spot_examples	Fig. 6	Panel d; platinum atom perturbation examples from formal masking raw records.	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv	
Paper1_Source_Data_FINAL.xlsx	Fig6e_external_support_enrichme	Fig6e_external_support_enrichment	Fig. 6	Panel e; external support enrichment summary.	formal_runs/table_exports/external_enrichment_final_summary.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable1_dataset_summary	STable1_dataset_summary	Supplementary Table 1	Dataset and setting summary derived from official raw metrics.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv	
