model_name	dataset	comparison	metric	n_matched_seeds	random_mean	random_sd	shifted_mean	shifted_sd	delta_mean	delta_sd	upstream_source
DLST-MDA	DLST-native	random_minus_drug_cold	AUROC	25	0.9316735491541116	0.0027567951922653528	0.613706615317761	0.10328327428803935	0.3179669338363505	0.10310383402570376	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
DLST-MDA	DLST-native	random_minus_mirna_cold	AUROC	25	0.9316735491541116	0.0027567951922653528	0.9310287998059348	0.006026831403092506	0.0006447493481767497	0.007225554710418955	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
DLST-MDA	DLST-native	random_minus_scaffold_cold	AUROC	25	0.9316735491541116	0.0027567951922653528	0.5800497496169061	0.0752846420206355	0.3516237995372054	0.07495016061806968	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
DLST-MDA	DLST-native	random_minus_strict_cold	AUROC	25	0.9316735491541116	0.0027567951922653528	0.5857500262767651	0.09272209162329408	0.3459235228773465	0.09259073048965052	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDR	random_minus_drug_cold	AUROC	25	0.9145775605522737	0.0078014256594942525	0.535571012578989	0.08157799997391543	0.37900654797328465	0.0791116402701318	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDR	random_minus_mirna_cold	AUROC	25	0.9145775605522737	0.0078014256594942525	0.9011587618500979	0.008430941225998904	0.013418798702175777	0.011754232165429283	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDR	random_minus_scaffold_cold	AUROC	25	0.9145775605522737	0.0078014256594942525	0.5816613465055674	0.08160067982599258	0.3329162140467062	0.08264947186989227	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDR	random_minus_strict_cold	AUROC	25	0.9145775605522737	0.0078014256594942525	0.548573952409434	0.03420847290528536	0.3660036081428397	0.03591335628478448	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDS	random_minus_drug_cold	AUROC	25	0.9123404958904083	0.006163526560289118	0.6696461464361078	0.0801236714443515	0.2426943494543005	0.08126390713668494	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDS	random_minus_mirna_cold	AUROC	25	0.9123404958904083	0.006163526560289118	0.8996706809152387	0.010415545193126414	0.012669814975169568	0.010342168369864041	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
