model_name	setting	bin_index	bin_lower	bin_upper	n_predictions	mean_predicted_probability	observed_positive_fraction	absolute_calibration_gap	upstream_source	notes
MPHGNN	drug_cold	0	0.0	0.1	33185	0.023105823801955402	0.4434835015820401	0.42037767778008467	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	1	0.1	0.2	4544	0.14039380018743622	0.6859595070422535	0.5455657068548173	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	2	0.2	0.3	1589	0.2430306852820386	0.7123977344241661	0.46936704914212746	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	3	0.3	0.4	789	0.3469386654510546	0.752851711026616	0.40591304557556135	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	4	0.4	0.5	498	0.44706096808355017	0.7389558232931727	0.2918948552096225	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	5	0.5	0.6	341	0.5469132341947024	0.7712609970674487	0.22434776287274627	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	6	0.6	0.7	216	0.6478941250178549	0.8564814814814815	0.20858735646362658	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	7	0.7	0.8	176	0.7513539845293219	0.8181818181818182	0.06682783365249634	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	8	0.8	0.9	242	0.8533968617600843	0.7975206611570248	0.055876200603059534	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	drug_cold	9	0.9	1.0	220	0.9329907140948556	0.85	0.08299071409485559	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	0	0.0	0.1	40508	0.01386459311916057	0.34928902932754025	0.3354244362083797	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	1	0.1	0.2	4766	0.1442077562550612	0.9238355014687369	0.7796277452136757	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	2	0.2	0.3	2625	0.24932614982128143	0.9531428571428572	0.7038167073215758	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	3	0.3	0.4	2011	0.34772126337356796	0.9627051218299354	0.6149838584563674	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	4	0.4	0.5	1329	0.4472494914937145	0.9714070729872084	0.5241575814934939	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	5	0.5	0.6	872	0.548170069899034	0.981651376146789	0.43348130624775494	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	6	0.6	0.7	1069	0.6492214044529886	0.9812909260991581	0.33206952164616954	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	7	0.7	0.8	460	0.7300733945939852	0.9869565217391304	0.25688312714514516	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	8	0.8	0.9	271	0.8536192132538095	1.0	0.14638078674619048	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	mirna_cold	9	0.9	1.0	89	0.9298487225275361	1.0	0.07015127747246386	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	0	0.0	0.1	18195	0.031854614274700814	0.03160208848584776	0.00025252578885305577	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	1	0.1	0.2	3483	0.14359113385143069	0.1642262417456216	0.0206351078941909	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
MPHGNN	random	2	0.2	0.3	2023	0.24614307678429373	0.3035096391497776	0.05736656236548385	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_raw_metrics.tsv	Derived from official MPHGNN audit prediction files; no model rerun.
