model_name	task_type	dataset	setting	n_success	AUROC_mean	AUROC_sd	AUPR_mean	AUPR_sd	F1_mean	F1_sd	ECE_mean	ECE_sd	Brier_mean	Brier_sd	NLL_mean	NLL_sd	schema_note	source_root	source_file	upstream_source
ISG-MDA	MDA	MDR	drug_cold	25	0.5355710125789891	0.08157799997391543	0.5491036883701754	0.06689647815017723	0.3309121386894623	0.11807664767380933	0.35534367919761023	0.06689287086969628	0.3921723268946028	0.05370219435048561	2.0524338435400677	0.6456551126365676	after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDR	scaffold_cold	25	0.5816613465055674	0.08160067982599258	0.58394269063465	0.07659758298079374	0.38103383967876153	0.1191434607049055	0.3244665211021641	0.07338832716026163	0.36515702626796104	0.05761355875928913	1.7128598086761238	0.5611398453867875	after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	drug_cold	25	0.6696461464361079	0.08012367144435151	0.6353500555971031	0.0757050799666875	0.4089818367630309	0.1501332437390508	0.2973259629325698	0.07111918943463044	0.3273909631070393	0.060419023687118385	1.3459366420303647	0.4554921736462799	after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
ISG-MDA	MDA	MDS	scaffold_cold	25	0.5922415296692303	0.08190239664633546	0.5768623052001481	0.07134306912669704	0.35746834996215104	0.13236449189853142	0.328604080913989	0.07389973208650062	0.3660375672947484	0.059901426978443105	1.605304764409274	0.48532278158501035	after 4-seed rerun audit PASS	formal_runs/isg_clean_fixedfinal_20260706	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	drug_cold	25	0.613706615317761	0.10328327428803935	0.6000924301747114	0.1018368282687981	0.28970374411605476	0.23752363118173123	0.30349014287075404	0.11041013309974221	0.33813836719125484	0.07761239116787394	1.0803982227060915	0.30516103188947585		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	scaffold_cold	25	0.5800497496169061	0.0752846420206355	0.5512535419139356	0.06488382697870809	0.25049106262542276	0.16918609315183827	0.31135593859503424	0.07078577257122454	0.34746447305872225	0.05047848168747537	1.0555654739762244	0.1904380021732427		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MPHGNN	MDA	native	drug_cold	25	0.6766162633639341	0.023228343441302635	0.6689492295384362	0.018029983939649198	0.08762389507425553	0.024886649352390742	0.4267773796703465	0.014167490989999561	0.41898594700061864	0.014692290477511699	1.707375991120495	0.1441260359243619	loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MPHGNN	MDA	native	scaffold_cold	25	0.7622186666666666	0.01173760223571947	0.7343870676914864	0.01516829886849236	0.11042152202385262	0.023787245596098912	0.42444232397436343	0.015983248128023864	0.4103267706361564	0.01721438577955274	1.5126127111647323	0.13130977588338263	loss unavailable; not imputed; AUC column mapped to AUROC	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614	formal_runs/native_mda_audit_20260601/MPHGNN_STRICT_FORMAL_GUARD_20260614/table_exports/MPHGNN_ADAPTED_FIXEDTEST_E10_FULL25_summary_mean_sd.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	drug_cold	25	0.5641530369768538	0.0656433218225346	0.5638771258063552	0.051323848695322874	0.1405259917207747	0.07064516288724945	0.41862616398858615	0.024279525613602283	0.4303515970186097	0.022005715835608442	2.7802536139963734	0.45153757365944724		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
MGCNA	MDA	native	scaffold_cold	25	0.5541363910931572	0.05234342598879932	0.5582117629308067	0.043722086315727084	0.15277055071226672	0.06549326995873532	0.41544817626408365	0.023848572701339887	0.42977438628673076	0.02004312512339903	2.8626000529811444	0.47933213421977827		formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629	formal_runs/mgcna_corrected_fast_full125_fixedfinal_20260629/audit/MGCNA_CORRECTED_FAST_FINAL125_SUMMARY_MEAN_SD.tsv	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv
