dataset	model_seed	candidate_pair_index	controlled_rank	global_rank	miRNA_id	drug_id	strategy	selected_atom_index	selected_atom_element	attention_score	baseline_probability	masked_probability	signed_delta	absolute_delta	contains_metal	analysis_subgroup	analysis_role	original_smiles	upstream_source
MDS	7	89169	3	3	20	7	Low	1	Pt	0.3194506466388702	0.9912580847740172	0.0079159038141369	-0.9833421809598804	0.9833421809598804	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	7	75988	2	2	602	7	Low	1	Pt	0.3194506466388702	0.9911189675331116	0.009601205587387	-0.9815177619457244	0.9815177619457244	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	7	39931	1	1	395	7	Low	1	Pt	0.3194506466388702	0.9937686920166016	0.0149662084877491	-0.9788024835288524	0.9788024835288524	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	1	89169	3	3	20	7	Low	1	Pt	0.3189395070075989	0.981507420539856	0.0082397097721695	-0.9732677107676864	0.9732677107676864	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	0	39931	1	1	395	7	Low	1	Pt	0.3317093253135681	0.9925577640533448	0.0221850704401731	-0.9703726936131716	0.9703726936131716	1	metal	exploratory_seed0	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	1	75988	2	2	602	7	Low	1	Pt	0.3189395070075989	0.9883267283439636	0.0184161607176065	-0.9699105676263572	0.9699105676263572	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	16	67442	2	2	1092	8	Low	1	Pt	0.318878710269928	0.9775082468986512	0.0101822270080447	-0.9673260198906064	0.9673260198906064	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	3	75988	2	2	602	7	Low	1	Pt	0.3198676705360412	0.9984140396118164	0.0348854474723339	-0.9635285921394824	0.9635285921394824	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	0	89169	3	3	20	7	Low	1	Pt	0.3317093253135681	0.9853973984718324	0.0224711745977401	-0.962926223874092	0.962926223874092	1	metal	exploratory_seed0	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	8	75988	2	2	602	7	Low	1	Pt	0.3150864243507385	0.9965248703956604	0.0356570705771446	-0.9608677998185158	0.9608677998185158	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	21	39931	1	1	395	7	Low	1	Pt	0.3085895180702209	0.9951135516166688	0.0370573252439498	-0.9580562263727188	0.9580562263727188	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	17	39931	1	1	395	7	Low	1	Pt	0.3273818492889404	0.9980533123016356	0.0404813475906848	-0.9575719647109509	0.9575719647109509	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	0	75988	2	2	602	7	Low	1	Pt	0.3317093253135681	0.9825971722602844	0.0265838429331779	-0.9560133293271064	0.9560133293271064	1	metal	exploratory_seed0	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	13	89169	3	3	20	7	Low	1	Pt	0.3421403169631958	0.9941591024398804	0.0409531034529209	-0.9532059989869596	0.9532059989869596	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	8	89169	3	3	20	7	Low	1	Pt	0.3150864243507385	0.9971688389778136	0.0456340909004211	-0.9515347480773926	0.9515347480773926	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	8	39931	1	1	395	7	Low	1	Pt	0.3150864243507385	0.9970552921295166	0.0456131398677825	-0.951442152261734	0.951442152261734	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	20	89169	3	3	20	7	Low	1	Pt	0.3266186416149139	0.9783725142478944	0.0279856417328119	-0.9503868725150824	0.9503868725150824	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	16	42506	3	3	265	8	Low	1	Pt	0.318878710269928	0.9726942777633668	0.0229307394474744	-0.9497635383158922	0.9497635383158922	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	3	89169	3	3	20	7	Low	1	Pt	0.3198676705360412	0.9989400506019592	0.0504316017031669	-0.9485084488987924	0.9485084488987924	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	16	42884	5	5	721	8	Low	1	Pt	0.318878710269928	0.9593368172645568	0.0128733124583959	-0.9464635048061608	0.9464635048061608	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	13	75988	2	2	602	7	Low	1	Pt	0.3421403169631958	0.9922641515731812	0.0466717109084129	-0.9455924406647682	0.9455924406647682	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	1	39931	1	1	395	7	Low	1	Pt	0.3189395070075989	0.9935542345046996	0.0497955083847045	-0.9437587261199952	0.9437587261199952	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	21	89169	3	3	20	7	Low	1	Pt	0.3085895180702209	0.9958600401878356	0.0523603372275829	-0.9434997029602528	0.9434997029602528	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	17	89169	3	3	20	7	Low	1	Pt	0.3273818492889404	0.9984238147735596	0.0564023032784462	-0.9420215114951134	0.9420215114951134	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	13	39931	1	1	395	7	Low	1	Pt	0.3421403169631958	0.9962350726127625	0.0552553012967109	-0.9409797713160516	0.9409797713160516	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	17	75988	2	2	602	7	Low	1	Pt	0.3273818492889404	0.9984020590782166	0.0578172728419303	-0.9405847862362862	0.9405847862362862	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	3	39931	1	1	395	7	Low	1	Pt	0.3198676705360412	0.9991763234138488	0.0610990487039089	-0.93807727470994	0.93807727470994	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	10	42506	3	3	265	8	Low	1	Pt	0.3215872347354889	0.9921624064445496	0.0561143197119236	-0.936048086732626	0.936048086732626	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	21	75988	2	2	602	7	Low	1	Pt	0.3085895180702209	0.994418740272522	0.0597904585301876	-0.9346282817423344	0.9346282817423344	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
