source_table	setting	n_seeds	applied_count_pass_seeds	all_matrix_validation_pass_seeds	manifest_rows_each	applied_masks_each	expected_applied_masks_each	status	upstream_source	dataset	subgroup	strategy	row_count	seed_count	candidate_count	drug_count	mean_absolute_delta	trimmed_mean_10pct	median_absolute_delta	q75	q90	q95	maximum
FORMAL100_MASKING_RUN_AUDIT_SUMMARY	circrna_cold	25	25	25	7	3	3	PASS	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv														
FORMAL100_MASKING_RUN_AUDIT_SUMMARY	disease_cold	25	25	25	7	2	2	PASS	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv														
FORMAL100_MASKING_RUN_AUDIT_SUMMARY	random	25	25	25	7	0	0	PASS	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv														
FORMAL100_MASKING_RUN_AUDIT_SUMMARY	strict_cold	25	25	25	7	5	5	PASS	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv														
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	all	High	1200	24	50	17	0.01324415134886896	0.005983443061510672	0.00283432006835935	0.010843530297279325	0.031605863571166994	0.047374743223190206	0.8047240376472473
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	all	Middle	1200	24	50	17	0.004329874565203939	0.0019095209737618264	0.0010795295238494	0.0036053657531738	0.00824738144874571	0.015225937962531987	0.1552397012710571
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	all	Low	1200	24	50	17	0.036389432621654075	0.003786089705924145	0.00139123201370235	0.0047639459371566	0.0444259285926824	0.23632715344428992	0.9673260198906064
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	all	Random	1200	24	50	17	0.009417555357019063	0.002459624844292749	0.0012142956256866	0.004482135176658575	0.01537171602249149	0.03116987943649281	0.805372029542923
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	non_metal	High	1056	24	44	15	0.013606897498847815	0.005907492434724799	0.0027428269386291	0.009876087307929899	0.03215467929840085	0.04828855395317073	0.8047240376472473
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	non_metal	Middle	1056	24	44	15	0.004385341128165028	0.00185809673710631	0.00097292661666865	0.003559559583663875	0.0082602798938751	0.015262618660926774	0.1552397012710571
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	non_metal	Low	1056	24	44	15	0.009965879221757208	0.0019334419399288046	0.00111439824104305	0.0031340569257735746	0.01029393076896665	0.030071049928665126	0.6953759342432022
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	non_metal	Random	1056	24	44	15	0.00966381380390936	0.0024806599245003275	0.0011515319347381	0.004500895738601625	0.0160872638225555	0.03370846807956693	0.805372029542923
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	metal	High	144	24	6	2	0.01058401291569069	0.006741851568221996	0.00328201055526725	0.0130224823951721	0.027860784530639605	0.041898363828658976	0.0805341601371765
GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY									formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_STRATEGY_SUMMARY_CONFIRMATORY.tsv	MDR	metal	Middle	144	24	6	2	0.003923119770155964	0.002322159450629611	0.0015220642089843	0.003811523318290675	0.008143341541290232	0.012341967225074664	0.0646735429763794
