Resource	Platform	Dataset	Metric	Top fraction	n_runs	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman_median	Enrichment ratio	Empirical_p_median	upstream_source
CellMiner	OSU	MDR	abs_spearman_rho	0.01	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.23 ± 0.0582	0.0014	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.05	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.17 ± 0.0411	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.1	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.128 ± 0.02011	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.01	25	9307	49	190	0.03847 ± 0.007378	0.000167	3.42 ± 1.76	0.141	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.05	25	9307	49	190	0.03847 ± 0.007378	0.000167	2.493 ± 0.4304	0.0168	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.1	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.939 ± 0.2314	0.0146	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.01	25	9307	49	190	0.03847 ± 0.007378	0.000167	2.271 ± 0.6288	0.0716	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.05	25	9307	49	190	0.03847 ± 0.007378	0.000167	2.096 ± 0.3421	0.0012	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.1	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.862 ± 0.1616	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.01	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.517 ± 0.1795	0.0172	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.05	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.421 ± 0.1308	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.1	25	9307	49	190	0.03847 ± 0.007378	0.000167	1.339 ± 0.06068	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.01	25	10094	51	198	0.02903 ± 0.008006	0.00161	1.249 ± 0.05982	0.0004	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.05	25	10094	51	198	0.02903 ± 0.008006	0.00161	1.148 ± 0.03318	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.1	25	10094	51	198	0.02903 ± 0.008006	0.00161	1.115 ± 0.02117	0.0002	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.01	25	10094	51	198	0.02903 ± 0.008006	0.00161	5.754 ± 1.382	0.0038	formal_runs/table_exports/external_enrichment_final_summary.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.05	25	10094	51	198	0.02903 ± 0.008006	0.00161	2.326 ± 0.4074	0.0184	formal_runs/table_exports/external_enrichment_final_summary.tsv
