source_exclusion_table	asset_path	model_name	reason_excluded	replacement_root	safe_to_delete	note	asset_type	identifier	path	excluded_reason	replacement_or_official_root
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/native_mda_audit_20260601	Bi-SGTAR	old recovered/locked high-score or REAL25/E200 candidate provenance only; current fixed-final E200 low-score version is official	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	NO	probability direction check did not rescue old high result					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710	ISG-MDA	old GAP audit output before 4-seed rerun completion	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun	NO	superseded by after_4seed_rerun audit					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/03_smoke	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/09_status/ISG_PILOT80_PASS	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/strict_cold	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/mirna_cold	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/drug_cold	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/scaffold_cold	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/strict_cold/seed_6	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/strict_cold/seed_19	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDS/strict_cold/seed_20	ISG-MDA	matches smoke/pilot/tmp/failed/partial/stale/old/legacy/superseded/recovered/locked exclusion pattern	formal_runs/isg_clean_fixedfinal_20260706	NO	not used in manuscript-ready tables					
