Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDR	abs_spearman_rho	0.01	94	9307	49	190	0.0319128680091596	0.0020763100181577	0.1758327290504734	0.1462989120118008	1.201873114656453	0.0041991601679664	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.01	94	9307	49	190	0.0319128680091596	0.0020763100181577	0.2340425531914893	0.1602019984957559	1.4609215577150847	0.0421915616876624	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.01	94	9307	49	190	0.0319128680091596	0.0020763100181577	0.0531914893617021	0.0234232298270119	2.2708861994924847	0.0757848430313937	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.01	94	9307	49	190	0.0319128680091596	0.0020763100181577	0.0319148936170212	0.007091436553132	4.500483558994197	0.030993801239752	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.05	466	9307	49	190	0.0319128680091596	0.0020763100181577	0.1635650202238938	0.1462989120118008	1.1180193890348291	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.05	466	9307	49	190	0.0319128680091596	0.0020763100181577	0.2145922746781116	0.1602019984957559	1.3395105972026724	0.000999800039992	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.05	466	9307	49	190	0.0319128680091596	0.0020763100181577	0.0472103004291845	0.0234232298270119	2.0155333307083514	0.0015996800639872	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.05	466	9307	49	190	0.0319128680091596	0.0020763100181577	0.0128755364806866	0.007091436553132	1.815645727662895	0.1105778844231153	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.1	931	9307	49	190	0.0319128680091596	0.0020763100181577	0.1610815100083018	0.1462989120118008	1.1010437999382292	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.1	931	9307	49	190	0.0319128680091596	0.0020763100181577	0.2030075187969924	0.1602019984957559	1.2671971679702272	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.1	931	9307	49	190	0.0319128680091596	0.0020763100181577	0.0386680988184747	0.0234232298270119	1.6508440169887364	0.0025994801039792	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.1	931	9307	49	190	0.0319128680091596	0.0020763100181577	0.0128893662728249	0.007091436553132	1.81759593789669	0.0301939612077584	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.01	101	10094	51	198	0.0156919999786963	0.1149198772633902	0.1670020541272547	0.1454008000944035	1.1485635155984444	0.021995600879824	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.01	101	10094	51	198	0.0156919999786963	0.1149198772633902	0.2079207920792079	0.1601941747572815	1.2979297929792977	0.1259748050389922	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed0_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
