task_type	dataset	setting	seed_metric_rows	models	n_test_mean	n_test_sd	notes	upstream_source
CDA	CircR2Disease	circRNA_cold	25	MSMCDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	CircR2Disease	disease_cold	25	MSMCDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	CircR2Disease	random	25	MSMCDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	CircR2Disease	strict_cold	25	MSMCDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	Dataset1	circrna_cold	25	Bi-SGTAR			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	Dataset1	disease_cold	25	Bi-SGTAR			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	Dataset1	random	25	Bi-SGTAR			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
CDA	Dataset1	strict_cold	25	Bi-SGTAR			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	DLST-native	drug_cold	25	DLST-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	DLST-native	mirna_cold	25	DLST-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	DLST-native	random	25	DLST-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	DLST-native	scaffold_cold	25	DLST-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	DLST-native	strict_cold	25	DLST-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	MDR	drug_cold	50	ISG-MDA,PLMF-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	MDR	mirna_cold	50	ISG-MDA,PLMF-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	MDR	random	50	ISG-MDA,PLMF-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
MDA	MDR	scaffold_cold	50	ISG-MDA,PLMF-MDA			Derived from official raw seed metrics; original entity-count summary not found as a single frozen table.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
