model_name	task_type	dataset	setting	seed	AUROC	AUPR	ACC	F1	MCC	Brier	ECE	NLL	loss	train_loss_final	test_loss	run_status	run_dir	source_file	schema_note	upstream_source
ISG-MDA	MDA	MDR	random	0	0.9147894806974148	0.9047594362182053	0.8484288354898336	0.8481481481481481	0.6968624329205784	0.11814219709651505	0.07176253143575076	0.4426885695263392		0.2485237993518539	0.44268857248389126	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_0	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	1	0.9030360699874608	0.8857671205145338	0.8262476894639557	0.8292461398728429	0.6528981535471741	0.12877694574934184	0.07130609069424608	0.46457809758811947		0.25052763766065483	0.46457809892908264	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_1	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	2	0.9197368466009068	0.9010475550845993	0.8484288354898336	0.855379188712522	0.70009918803198	0.11420636820524765	0.06273758353787698	0.41182965694338297		0.2675221379124339	0.411829656461691	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_2	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	3	0.9055447740030955	0.8857153950511218	0.8308687615526802	0.840174672489083	0.6662705372660035	0.1276784297279235	0.07437448397170182	0.44727941768488805		0.24852169306290897	0.44727942066580445	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_3	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	4	0.9113147078218266	0.8929548362610455	0.8391866913123844	0.8446428571428571	0.6800530454894083	0.11950550636340694	0.04829523601973922	0.42361509872823927		0.27157227493621205	0.4236151000928967	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_4	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	5	0.8974121996303142	0.8774029950000051	0.8317929759704251	0.8361836183618362	0.6645413972359817	0.12929558653056403	0.06223335308185948	0.4518491422558205		0.25330704507058915	0.4518491438488423	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_5	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	6	0.9164235122881226	0.8951312328664245	0.8576709796672828	0.8608852755194218	0.7161069663668633	0.11361021754641806	0.05189290719104098	0.3901958018815322		0.2580356561413371	0.3901958055449942	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_6	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	7	0.9148714812372516	0.9039533588773386	0.8456561922365989	0.852863436123348	0.694653884628356	0.11918447817630409	0.0643433410570182	0.4206215800341224		0.2593431409373518	0.4206215857137373	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_7	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	8	0.9208041348772212	0.901170126672445	0.8498151571164511	0.8479176415535797	0.699848242974657	0.11628567613705379	0.06059281059928178	0.40877942687980234		0.25276914551478935	0.40877942809776546	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_8	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
ISG-MDA	MDA	MDR	random	9	0.92070376963315	0.9042728101130462	0.8530499075785583	0.8594164456233422	0.7090139917996877	0.1114708965693198	0.04455105148632709	0.38470546029710123		0.25981768570387714	0.3847054577468724	PASS	formal_runs/isg_clean_fixedfinal_20260706/04_formal_runs/MDR/random/seed_9	formal_runs/isg_clean_fixedfinal_20260706/08_final_audit_20260710_after_4seed_rerun/ISG_FORMAL_250_RAW_METRICS.tsv		outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv
