n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
371	112	259	0.3018867924528302	0.7193877551020408	0.48837316241067613	0.2671291245342117	MDR	drug_cold	0	High	3	0.8362530401434021	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
576	182	394	0.3159722222222222	0.7299325040441791	0.5910763745399269	0.40218272013958856	MDR	drug_cold	0	Medium	5	0.4537270734692137	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1997	1178	819	0.5898848272408613	0.6235989062814191	0.6887116698828284	0.24097338798047405	MDR	drug_cold	0	Low	10	0.15079494229663307	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
479	409	70	0.8538622129436325	0.6987425777156828	0.9326050808703684	0.5388261962415212	MDR	drug_cold	1	High	1	1.0	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
473	42	431	0.08879492600422834	0.7277096453430559	0.30875942273492163	0.24139955209656133	MDR	drug_cold	1	Medium	4	0.554163774482012	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1214	632	582	0.5205930807248764	0.4049300752533821	0.4741862458376571	-0.0968005112595949	MDR	drug_cold	1	Low	6	0.11889646254194397	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
496	416	80	0.8387096774193549	0.8323317307692307	0.9492704309084217	0.6854766716322143	MDR	drug_cold	2	High	2	0.7715216682958619	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
131	9	122	0.06870229007633588	0.7832422586520947	0.2635679271708683	0.2092409709785553	MDR	drug_cold	2	Medium	2	0.5432619867285337	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1927	852	1075	0.4421380384016606	0.44407904793099684	0.4137730497601353	-0.050845891267180726	MDR	drug_cold	2	Low	20	0.21047434854072042	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
49	13	36	0.2653061224489796	0.7777777777777778	0.5467864187094956	0.3831259587990357	MDR	drug_cold	3	High	1	0.7999999999999999	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
232	61	171	0.2629310344827586	0.5680184066724189	0.3507573807504262	0.11915621248011038	MDR	drug_cold	3	Medium	5	0.5719616931453405	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
2019	1076	943	0.532937097573056	0.5047670765215815	0.5579364369508574	0.05352456649393536	MDR	drug_cold	3	Low	27	0.20919437403454616	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
256	126	130	0.4921875	0.3277167277167278	0.3930689492123921	-0.19518730001252016	MDR	drug_cold	4	High	2	0.8299636803874095	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
0	0	0					MDR	drug_cold	4	Medium	0		False	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
2066	1035	1031	0.5009680542110359	0.43879072426282817	0.4664604787311021	-0.0691490309811282	MDR	drug_cold	4	Low	16	0.15941445073457916	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
375	213	162	0.568	0.7024575436156032	0.7842545244485642	0.5005891769642692	MDR	drug_cold	5	High	4	0.7856712980734556	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1117	755	362	0.67591763652641	0.5670849950605539	0.7243460552742724	0.14943244127448152	MDR	drug_cold	5	Medium	9	0.5547211860817849	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
784	170	614	0.21683673469387754	0.42960337229354284	0.3084766073629713	0.11701247585109037	MDR	drug_cold	5	Low	15	0.1948843834318093	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
589	411	178	0.6977928692699491	0.5692200442877061	0.7382006655626092	0.13370894391222926	MDR	drug_cold	6	High	2	0.9686339961439959	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
710	439	271	0.6183098591549295	0.5228420849128764	0.6219305180266743	0.00948585903667453	MDR	drug_cold	6	Medium	3	0.5578249643792093	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1287	443	844	0.3442113442113442	0.48738405742834834	0.33618536918305253	-0.012238660973236223	MDR	drug_cold	6	Low	8	0.16460335023939773	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
432	140	292	0.32407407407407407	0.7632827788649708	0.6480087229589406	0.47924578191185735	MDR	drug_cold	7	High	6	0.8120508676211254	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
701	519	182	0.7403708987161198	0.35613711914289947	0.698799745529517	-0.16011746364730006	MDR	drug_cold	7	Medium	4	0.5769848373494069	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1127	471	656	0.4179236912156167	0.4765952695354979	0.41294329964054416	-0.008556251989491963	MDR	drug_cold	7	Low	12	0.19512249698808593	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
348	201	147	0.5775862068965517	0.7296849087893864	0.800224617057198	0.5270623587476525	MDR	drug_cold	8	High	2	0.7973593763904824	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
573	462	111	0.806282722513089	0.4586794586794587	0.8037440654680938	-0.013104959340380204	MDR	drug_cold	8	Medium	2	0.6061184137239612	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1329	462	867	0.3476297968397291	0.3518976217938156	0.28300370995238044	-0.0990635172702265	MDR	drug_cold	8	Low	12	0.22874105756788865	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
351	190	161	0.5413105413105413	0.5285714285714286	0.5883047700024704	0.1024532563407894	MDR	drug_cold	9	High	3	0.817646084876098	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
772	495	277	0.6411917098445595	0.6547934215804252	0.7433253162504077	0.2846467297664792	MDR	drug_cold	9	Medium	6	0.5886977834990753	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1457	605	852	0.4152367879203844	0.5029624025142592	0.4501169197312807	0.05964830052638024	MDR	drug_cold	9	Low	17	0.19242053512283425	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
585	478	107	0.8170940170940171	0.8567629922183553	0.9620399364515893	0.7924613348054179	MDR	drug_cold	10	High	3	0.7645734312400978	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
299	111	188	0.3712374581939799	0.5409718228867165	0.38178377679463316	0.01677313437018788	MDR	drug_cold	10	Medium	5	0.47097816329757647	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1664	685	979	0.41165865384615385	0.484863893590212	0.4217540058932967	0.017159004909546166	MDR	drug_cold	10	Low	25	0.20402919565900793	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
